"env","SourceInstance","Collected","servicename","startup_type_desc","status_desc","last_startup_time","service_account"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","7/22/2025 8:38:57 AM -04:00","hvi\gMSA_sql_cit$"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_cit$"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","7/22/2025 8:41:30 AM -04:00","hvi\gMSA_sql_cit$"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_cit$"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","8/14/2025 11:21:47 PM -04:00","hvi\gMSA_sql_cit$"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_cit$"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","8/13/2025 7:16:38 PM -04:00","hvi\gMSA_sql_anma$"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_anma$"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","7/11/2025 2:52:58 PM -04:00","hvi\gMSA_sql_anma$"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_anma$"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","7/11/2025 2:55:29 PM -04:00","hvi\gMSA_sql_anma$"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_anma$"
"QA","QSQL-02","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","8/12/2025 7:33:21 PM -04:00","hvi\gMSA_sql_qa$"
"QA","QSQL-02","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_qa$"
"QA","QSQL-04","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","8/12/2025 9:18:27 PM -04:00","hvi\gMSA_sql_qa$"
"QA","QSQL-04","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_qa$"
"QA","QSQL-06","8/21/2025 1:17:30 PM","SQL Server (MSSQLSERVER)","Automatic","Running","8/12/2025 11:38:22 PM -04:00","hvi\gMSA_sql_qa$"
"QA","QSQL-06","8/21/2025 1:17:30 PM","SQL Server Agent (MSSQLSERVER)","Automatic","Running","","hvi\gMSA_sql_qa$"
