"env","SourceInstance","Collected","AGName","ReplicaServer","Role","FailoverMode","AvailabilityMode","ReadableSecondary","SeedingMode","OperationalState","ConnectedState","SyncHealth","EndpointUrl"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","AG-CIT","psql-02","PRIMARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","HEALTHY","TCP://psql-02.hvi.brown.edu:5022"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","AG-CIT","psql-04","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","","CONNECTED","HEALTHY","TCP://psql-04.hvi.brown.edu:5022"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","AG-CIT","psql-06","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","","CONNECTED","HEALTHY","TCP://psql-06.hvi.brown.edu:5022"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","AG-CIT","psql-04","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","HEALTHY","TCP://psql-04.hvi.brown.edu:5022"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","AG-CIT","psql-06","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","HEALTHY","TCP://psql-06.hvi.brown.edu:5022"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","AG-ANMA","psql-01","PRIMARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","HEALTHY","TCP://psql-01.hvi.brown.edu:5022"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","AG-ANMA","psql-03","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","","CONNECTED","NOT_HEALTHY","TCP://psql-03.hvi.brown.edu:5022"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","AG-ANMA","psql-05","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","","CONNECTED","NOT_HEALTHY","TCP://psql-05.hvi.brown.edu:5022"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","AG-ANMA","psql-03","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","NOT_HEALTHY","TCP://psql-03.hvi.brown.edu:5022"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","AG-ANMA","psql-05","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","NOT_HEALTHY","TCP://psql-05.hvi.brown.edu:5022"
"QA","QSQL-02","8/21/2025 1:17:30 PM","AG-QA","qsql-02","PRIMARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","HEALTHY","TCP://qsql-02.hvi.brown.edu:5022"
"QA","QSQL-02","8/21/2025 1:17:30 PM","AG-QA","qsql-04","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","","CONNECTED","HEALTHY","TCP://qsql-04.hvi.brown.edu:5022"
"QA","QSQL-02","8/21/2025 1:17:30 PM","AG-QA","qsql-06","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","","CONNECTED","HEALTHY","TCP://qsql-06.hvi.brown.edu:5022"
"QA","QSQL-04","8/21/2025 1:17:30 PM","AG-QA","qsql-04","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","HEALTHY","TCP://qsql-04.hvi.brown.edu:5022"
"QA","QSQL-06","8/21/2025 1:17:30 PM","AG-QA","qsql-06","SECONDARY","AUTOMATIC","SYNCHRONOUS_COMMIT","NO","AUTOMATIC","ONLINE","CONNECTED","HEALTHY","TCP://qsql-06.hvi.brown.edu:5022"
