"env","SourceInstance","Collected","AGName","DatabaseName"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","AG-CIT","TESTDB"
"UNKNOWN","PSQL-02","8/21/2025 1:17:30 PM","AG-CIT","VirtualManagerDB"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","AG-CIT","TESTDB"
"UNKNOWN","PSQL-04","8/21/2025 1:17:30 PM","AG-CIT","VirtualManagerDB"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","AG-CIT","TESTDB"
"UNKNOWN","PSQL-06","8/21/2025 1:17:30 PM","AG-CIT","VirtualManagerDB"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","AG-ANMA","TESTDB"
"UNKNOWN","PSQL-01","8/21/2025 1:17:30 PM","AG-ANMA","VirtualManagerDB"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","AG-ANMA","TESTDB"
"UNKNOWN","PSQL-03","8/21/2025 1:17:30 PM","AG-ANMA","VirtualManagerDB"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","AG-ANMA","TESTDB"
"UNKNOWN","PSQL-05","8/21/2025 1:17:30 PM","AG-ANMA","VirtualManagerDB"
"QA","QSQL-02","8/21/2025 1:17:30 PM","AG-QA","TESTDB"
"QA","QSQL-02","8/21/2025 1:17:30 PM","AG-QA","VirtualManagerDB"
"QA","QSQL-04","8/21/2025 1:17:30 PM","AG-QA","TESTDB"
"QA","QSQL-04","8/21/2025 1:17:30 PM","AG-QA","VirtualManagerDB"
"QA","QSQL-06","8/21/2025 1:17:30 PM","AG-QA","TESTDB"
"QA","QSQL-06","8/21/2025 1:17:30 PM","AG-QA","VirtualManagerDB"
